历届诺贝尔文学奖获奖作家

时间 作家 国籍 获奖理由
   1915 罗曼·罗兰 法国 “文学作品中的高尚理想和他在描绘各种不同类型人物时所具有的同情和对真理的热爱”
   1916 魏尔纳·海顿斯坦 瑞典 “褒扬他在瑞典文学新纪元中所占之重要代表地位”
   1917 卡尔·耶勒鲁普 丹麦 “因为他多样而丰富的诗作——它们蕴含了高超的理想”
   1917 亨利克·彭托皮丹 丹麦 “由于他对当前丹麦生活的忠实描绘”
   1918 未颁奖
   1919 卡尔·施皮特勒 瑞士 “特别推崇他在史诗《奥林帕斯之春》的优异表现”
   1920 克努特·哈姆生 挪威 “为了他划时代的巨著《土地的成长》”
   1921 阿纳托尔·法郎士 法国 “他辉煌的文学成就，乃在于他高尚的文体、宽闵的人道同情、迷人的魅力，以及一个真正法国性情所形成的特质”
   1922 哈辛特·贝纳文特·伊·马丁内斯 西班牙 “由于他以适切之方式，延续了戏剧之灿烂传统”
   1923 威廉·勃特勒·叶芝 爱尔兰 “由于他那永远充满着灵感的诗，它们透过高度的艺术形式展现了整个民族的精神”
   1924 弗拉迪斯拉夫·莱蒙特 波兰 “我们颁奖给他，是因为他的民族史诗《农夫们》写得很出色”
   1925 乔治·萧伯纳 爱尔兰 “由于他那些充满理想主义及人情味的作品——它们那种激动性讽刺常涵蕴着一种高度的诗意美”
   1926 格拉齐亚·黛莱达（女） 意大利 “为了表扬她由理想主义所激发的作品，以浑柔的透彻描绘了她所生长的岛屿上的生活；在洞察人类一般问题上，表现的深度与怜悯”
   1927 亨利·柏格森 法国 “因为他那丰富的且充满生命力的思想，以及所表现出来的光辉灿烂的技巧”
   1928 西格里德·温塞特（女） 挪威 “主要是由于她对中世纪北国生活之有力描绘”
   1929 保尔·托马斯·曼 德国 “由于他那在当代文学中具有日益巩固的经典地位的伟大小说《布登勃洛克一家》。”
   1930 辛克莱·刘易斯 美国 “由于他充沛有力切身科动人的叙述艺术，和他以机智幽默去开创新风格的才华”
   1931 埃利克·阿克塞尔·卡尔费尔德 瑞典 “由于他在诗作的艺术价值上，从没有人怀疑过”
   1932 约翰·高尔斯华绥 英国 “为其描述的卓越艺术——这种艺术在《福尔赛世家》中达到高峰”
   1933 伊凡·亚历克塞维奇·蒲宁 俄国 “由于他严谨的艺术才能，使俄罗斯古典传统在散文中得到继承”
   1934 路伊吉·皮兰德娄 意大利 “他果敢而灵巧地复兴了戏剧艺术和舞台艺术”
   1935 未颁奖
   1936 尤金·奥尼尔 美国 “由于他剧作中所表现的力量、热忱与深挚的感情——它们完全符合悲剧的原始概念”
   1937 罗杰·马丁·杜·加尔 法国 “由于在他的长篇小说《蒂博一家》中表现出来的艺术魅力和真实性。这是对人类生活面貌的基本反映。”
   1938 赛珍珠（珀尔·塞登斯特里克·布克）（女） 美国 “她对于中国农民生活的丰富和真正史诗气概的描述，以及她自传性的杰作”
   1939 弗兰斯·埃米尔·西兰帕 芬兰 “由于他在描绘两样互相影响的东西——他祖国的本质，以及该国农民的生活——时所表现的深刻了解与细腻艺术”
   1940—1943 未颁奖
   1944 约翰内斯·威廉·扬森 丹麦 “由于籍著丰富有力的诗意想象，将胸襟广博的求知心和大胆的、清新的创造性风格结合起来”
   1945 加夫列拉·米斯特拉尔 智利 “她那由强烈感情孕育而成的抒情诗，已经使得她的名字成为整个拉丁美洲世界渴求理想的象征”
   1946 赫尔曼·黑塞 德国 “……他那些灵思盎然的作品——它们一方面具有高度的创意和深刻的洞见，一方面象征古典的人道理想与高尚的风格”
   1947 安德烈·纪德 法国  “为了他广包性的与有艺术质地的著作，在这些著作中，他以无所畏惧的对真理的热爱，并以敏锐的心理学洞察力，呈现了人性的种种问题与处境”
   1948 托马斯·斯特恩斯·艾略特 英国 “对于现代诗之先锋性的卓越贡献”
   1949 威廉·福克纳 美国 “因为他对当代美国小说做出了强有力的和艺术上无与伦比的贡献”
   1950 帕特兰·亚瑟·威廉·罗素 英国 “表彰他所写的捍卫人道主义理想和思想自由的多种多样意义重大的作品”
   1951 帕尔·费比安·拉格克维斯特 瑞典 “由于他在作品中为人类面临的永恒的疑难寻求解答所表现出的艺术活力和真正独立的见解”
   1952 弗朗索瓦·莫里亚克 法国 “因为他在他的小说中剖析了人生的戏剧，对心灵的深刻观察和紧凑的艺术”
   1953 温斯特·丘吉尔 英国 “由于他在描述历史与传记方面的造诣，同时由于他那捍卫崇高的人的价值的光辉演说。”
   1954 欧内斯特·海明威 美国 “因为他精通于叙事艺术，突出地表现在其近著《老人与海》之中；同时也因为他对当代文体风格之影响”
   1955 赫尔多尔·奇里扬·拉克斯奈斯 冰岛 “为了他在作品中所流露的生动、史诗般的力量，使冰岛原已十分优秀的叙述文学技巧更加瑰丽多姿”
   1956 胡安·拉蒙·希梅内斯 西班牙 “由于他的西班牙抒情诗，成了高度精神和纯粹艺术的最佳典范”
   1957 阿尔贝·加缪 法国 “由于他重要的著作，在这著作中他以明察而热切的眼光照亮了我们这时代人类良心的种种问题”
   1958 鲍里斯·列昂尼多维奇·帕斯捷尔纳克 苏联 “在当代抒情诗和俄国的史诗传统上，他都获得了极为重大的成就”
   1959 萨瓦多尔·夸西莫多 意大利 “由于他的抒情诗，以古典的火焰表达了我们这个时代中，生命的悲剧性体验”
   1960 圣琼·佩斯 法国 “由于他高超的飞越与丰盈的想象，表达了一种关于目前这个时代之富于意象的沉思”
   1961 伊沃·安德里奇 南斯拉夫 “由于他作品中史诗般的力量——他籍著它在祖国的历史中追寻主题，并描绘人的命运”
   1962 约翰·斯坦贝克 美国 “通过现实主义的、寓于想象的创作，表现出富于同情的幽默和对社会的敏感观察”
   1963 乔治·塞菲里斯 希腊 “他的卓越的抒情诗作，是对希腊文化的深刻感受的产物”
   1964 让·保尔·萨特 法国 “因为他那思想丰富、充满自由气息和探求真理精神的作品对我们时代发生了深远影响”
   1965 米哈伊尔·亚历山大罗维奇·肖洛霍夫 苏联 “由于这位作家在那部关于顿河流域农村之史诗作品中所流露的活力与艺术热忱——他籍这两者在那部小说里描绘了俄罗斯民族生活之某一历史层面”
   1966 萨缪尔·约瑟夫·阿格农 以色列 “他的叙述技巧深刻而独特，并从犹太民族的生命汲取主题”；奈莉·萨克斯（女） 德国 “因为她杰出的抒情与戏剧作品，以感人的力量阐述俩以色列的命运”
   1967 安赫尔·阿斯图里亚斯 危地马拉 “因为他的作品落实于自己的民族色彩和印第安传统，而显得鲜明生动”
   1968 川端康成 日本 “由于他高超的叙事性作品以非凡的敏锐表现了日本人精神特质”
   1969 萨缪尔·贝克特 法国 “他那具有奇特形式的小说和戏剧作品，使现代人从精神困乏中得到振奋”
   1970 亚历山大·索尔仁尼琴 苏联 “由于他作品中的道德力量，籍著它，他继承了俄国文学不可或缺的传统”
   1971 巴勃鲁·聂鲁达 智利 “诗歌具有自然力般的作用，复苏了一个大陆的命运与梦想”
   1972 亨利希·伯尔 德国 “为了表扬他的作品，这些作品兼具有对时代广阔的透视和塑造人物的细腻技巧，并有助于德国文学的振兴。”
   1973 帕特里克·怀特 澳大利亚 “由于他史诗与心理叙述艺术，并将一个崭新的大陆带进文学中”
   1974 埃温特·约翰逊 瑞典   “以自由为目的，而致力于历史的、现代的广阔观点之叙述艺术”
   1974 哈里·埃德蒙·马丁逊 瑞典  “他的作品透过一滴露珠反映出整个世界”
   1975 埃乌杰尼奥·蒙塔莱 意大利 “由于他杰出的诗歌拥有伟大的艺术性，在不适合幻想的人生里，诠释了人类的价值”
   1976 索尔·贝娄 美国 “由于他的作品对人性的了解，以及对当代文化的敏锐透视”
   1977 阿莱克桑德雷·梅洛 西班牙 “他的作品继承了西班牙抒情诗的传统和吸取了现在流派的风格，描述了人在宇宙和当今社会中的状况”
   1978 艾萨克·巴什维斯·辛格 美国 “他的充满激情的叙事艺术，这种既扎根于波兰人的文化传统，又反映了人类的普遍处境”
   1979 奥德修斯·埃里蒂斯 希腊 “他的诗，以希腊传统为背景，用感觉的力量和理智的敏锐，描写现在认为自由和创新而奋斗”
   1980 切斯拉夫·米沃什 波兰 “不妥协的敏锐洞察力，描述了人在激烈冲突的世界中的暴露状态”
   1981 埃利亚斯·卡内蒂 英国 “作品具有宽广的视野、丰富的思想和艺术力量。”
   1982 加夫列尔·加西亚·马尔克斯 哥伦比亚 “由于其长篇小说以结构丰富的想象世界，其中糅混着魔幻于现实，反映出一整个大陆的生命矛盾”
   1983 威廉·戈尔丁 英国
   1984 雅罗斯拉夫·塞弗尔特 捷克斯洛伐克 “他的诗富于独创性、新颖、栩栩如生，表现了人的不屈不挠精神和多才多艺的渴求解放的形象”
   1985 克洛德·西蒙 法国 “由于他善于把诗人和画家的丰富想象与深刻的时间意识融为一 体，对人类的生存状况进行了深入的描写。”
   1986 沃莱·索因卡 尼日利亚 “他以广博的文化视野创作了富有诗意的关于人生的戏剧。”
   1987 约瑟夫·布罗茨基 美国 “他的作品超越时空限制，无论在文学上或是敏感问题方面都充分显示出他广阔的思想及浓郁的诗意”
   1988 纳吉布·马哈富兹 埃及 “他通过大量刻画入微的作品—洞察一切的现实主义，唤起人们树立雄心—形成了全人类所欣赏的阿拉伯语言艺术”
   1989 卡米洛·何塞·塞拉 西班牙 “带有浓郁情感的丰富而精简的描写，对人类弱点达到的令人难以企及的想象力”
   1990 奥克塔维奥·帕斯 墨西哥 “他的作品充满激情，视野开阔，渗透着感悟的智慧并体现了完美的人道主义”
   1991 内丁·戈迪默 南非 “以强烈而直接的笔触，描写周围复杂的人际与社会关系，其史诗般壮丽的作品，对人类大有裨益”
   1992 德里克·沃尔科特 西印度群岛 “他的作品具有巨大的启发性和广阔的历史视野，是其献身多种文化的结果。”
   1993 托尼·莫里森（女） 美国 “其作品想象力丰富,富有诗意，显示了美国现实生活的重要方面。”
   1994 大江健三郎 日本 “通过诗意的想象力,创造出一个把现实与神话紧密凝缩在一起的想象世界，描绘现代的芸芸众生相，给人们带来了冲击。”
   1995 希尼 爱尔兰  “由于其作品洋溢着抒情之美,包容着深邃的伦理,揭示出日常生活和现实历史的奇迹。”
   1996 希姆博尔斯卡 波兰 “由于其在诗歌艺术中警辟精妙的反讽，挖掘出了人类一点一滴的现实生活背后历史更迭与生物演化的深意。”
   1997 达里奥·福 意大利 “其在鞭笞权威，褒扬被蹂躏者可贵的人格品质方面所取得的成就堪与中世纪《弄臣》一书相媲美。”
   1998 若泽·萨拉马戈 葡萄牙 “由于他那极富想象力、同情心和颇具反讽意味的作品,我们得以反复重温那一段难以捉摸的历史。”
   1999 君特·格拉斯 德国 “其嬉戏之中蕴含悲剧色彩的寓言描摹出了人类淡忘的历史面目。”
   2000 高行健 法国 “其作品的普遍价值，刻骨铭心的洞察力和语言的丰富机智，为中文小说和艺术戏剧开辟了新的道路。”
   2001 奈保尔 英国 “其著作将极具洞察力的叙述与不为世俗左右的探索融为一体，是驱策我们从扭曲的历史中探寻真实的动力。”
   2002 凯尔泰斯·伊姆雷 匈牙利 “表彰他对脆弱的个人在对抗强大的野蛮强权时痛苦经历的深刻刻画以及他独特的自传体文学风格。”
   2003 约翰·马克斯韦尔·库切 南非 “在人类反对野蛮愚昧的历史中，库切通过写作表达了对脆弱个人斗争经验的坚定支持。”
