黄金十年的珍贵资料
1980 年

歌名 歌手
13 随想曲 徐小凤
14 黄水谣 辛尼哥哥、源子才
15 情人路 林志美
16 迟来的春天 谭咏麟
17 你 王雅文
18 少爷威威 谭咏麟
19 月亮神 叶振棠
20 倦 叶德娴
21 漫步人生路 邓丽君
22 赤的疑惑 梅艳芳
23 一生有意义 罗文、甄妮
24 水中莲 林子祥
25 世间始终你好 罗文、甄妮
26 常在我心间 关正杰、黄露仪
27 无言地等 陈洁灵
28 我只有期待 鲍翠薇
29 梦 薰妮
30 偏偏喜欢你 陈百强
31 是谁在我耳边唱 蔡国权
32 鼓浪屿 区瑞强
33 我的中国心 张明敏
34 一段情 钟镇涛、彭健新
35 同途万里人 罗文
36 默默无言 张德兰
37 一片痴 张国荣
38 要是有缘 钟镇涛
39 娉婷 蔡枫华
40 火烧圆明园 郑少秋
41 莫听我哭诉 蔡枫华
42 情义两心坚 张德兰
　

1984 年

1 酒干倘卖无 苏芮
2 天籁 关正杰
3 爱的幻想 罗文
4 洋紫荆 许冠杰
5 请跟我来 苏芮、虞戡平
6 零时十分 叶 文
7 幻影 谭咏麟
8 雾之恋 谭咏麟
9 逝去的诺言 陈慧娴
10 梦里几番哀 鲍翠薇
11 甚麽是缘份 林志美
12 爱到发烧 林子祥
13 梦想号黄包车 甄妮
14 再见也许不再会 蔡国权
15 难原谅他 黄绮嘉
16 再度孤独 甄妮
17 笑傲江湖 叶振棠、叶丽仪
18 不信爱有罪 梅艳芳
19 停不了的爱 雷安娜、彭健新
20 情比雨丝 徐小凤
21 再莫愚弄我 区瑞强
22 在雨中 刘家昌、尤雅
23 摘星 陈百强
24 我为你狂 蒋丽萍
25 爱的根源 谭咏麟
26 恋爱预告 林姗姗
27 月蚀 蔡枫华
28 爱在深秋 谭咏麟
29 捕鱼郎 郑少秋
30 玻璃窗的爱 陈慧娴
31 Monica 张国荣
32 你留我在此 叶德娴
33 最喜欢你 许冠杰
34 过路人 卢冠廷
35 爱的短箭 张德兰
36 爱跳舞的少女 麦洁文
37 晚风 叶 文
38 Love me 陈洁灵
39 似水流年 梅艳芳
40 震荡 陈秀雯
41 偶遇 林志美 　


1985 年

1 谁能明白我 林子祥
2 每一个晚上 林子祥
3 痴心的一句 钟镇涛
4 等 陈百强
5 I love you so 周启生
6 无心快语 蔡国权
7 蔓珠莎华 梅艳芳
8 爱情陷阱 谭咏麟
9 为你而歌 甄妮
10 再见puppy love 林姗姗、陈百强
11 Smile again玛莉亚 张学友
12 雨夜的浪漫 谭咏麟
13 心里泪涌 张德兰
14 仍然记得0个一次 林子祥
15 顶天立地 鲍翠薇
16 情是永远着迷 谭咏麟
17 爱情傀儡 蔡国权
18 我愿意 张国荣
19 长夜my love good night 叶倩文
20 轻抚你的脸 张学友
21 不羁的风 张国荣
22 顺流、逆流 徐小凤
23 爱不是游戏 蔡枫华
24 快乐老实人 卢冠廷
25 Forever 李丽蕊
26 深爱着你 陈百强
27 世事何曾是绝对 卢冠廷
28 Oh! Carol 区瑞强
29 夜之节拍 王雅文
30 断 麦洁文
31 你的目光 刘家昌、尤雅
32 最紧要好玩 许冠杰
33 日本娃娃 许冠杰
34 花店 陈慧娴
35 泪之旅 钟镇涛
36 爱情幻像 林志美
37 谁可相依 苏芮
38 爱情组曲 张学友、蔡国权、钟镇涛
39 情己逝 张学友
40 听不到的说话 吕方
41 打火机 甄妮
42 空凳 夏韶声
43 明天会更好 台湾群星
44 再坐一会 邝美云
45 情为你痴 何嘉丽 　 　 　


1986 年

3 这一个夜 林子祥
4 冰山大火 梅艳芳
5 暴风女神 谭咏麟
6 冬 徐小凤
7 绝对空虚 蔡枫华
8 Amour 张学友
9 把歌谈心 林姗姗
10 心思思 许冠杰
11 谁令你心痴 张国荣、陈洁灵
12 月半弯 张学友
13 几许风雨 罗文
14 最後的玫瑰 甄妮
15 放纵 林忆莲
16 偷心者 张学友
17 Stand up 张国荣
18 情变 钟镇涛
19 黑色午夜 张国荣
20 千个太阳 叶德娴、陈洁灵
21 秦始皇 罗嘉良
22 雨夜钢琴 林志美
23 跳舞街 陈慧娴
24 当我想起你 陈百强
25 躲藏的眼睛 周启生
26 陪着你走 卢冠廷、刘天兰
27 蚌的启示 关正杰、区瑞强、卢冠廷
28 阿Lam日记 林子祥
29 第一滴泪 谭咏麟
30 留下的雨伞 区瑞强
31 和平之歌 群星
32 身体哭泣 甄妮
33 雾夜 林姗姗
34 无言感激 谭咏麟
35 Cha Cha Cha 叶倩文
36 伤心的我 邝美云
37 我的妹妹 许冠杰
38 凝望 陈百强
39 当年情 张国荣
40 迷途 太极
41 吸烟的女人 Raidas
42 不想见你 何嘉丽
43 光照万世 郑少秋
44 爱将 梅艳芳
45 有谁共鸣 张国荣
46 梦飞行 徐小凤
47 海上花 甄妮
48 相爱 张学友
49 谁又欠了谁 徐小凤 　 　 　


1987 年

1 千亿个夜晚 林子祥
2 风火海 陈洁灵
3 曾经 谭咏麟
4 亚热带少年 刘美君
5 别恋 张学友
6 朋友一个罗文
7 破碎 蔡枫华
8 Maggie 谭咏麟
9 冰封的心 陈百强
10 午夜情 刘美君
11 痴心 林姗姗
12 激情 林忆莲
13 贪、贪、贪 陈慧娴
14 只想留下 杜德伟
15 爱慕 张国荣
16 石头记 达明一派
17 传说Raidas
18 今天我非常寂寞 钟镇涛
19 甜言蜜语 叶倩文
20 爱情蝙蝠侠 郭小霖
21 别人的歌 Raidas
22 潮流兴夹band 许冠杰
23 马路天使 达明一派
24 同是寂寞人 吕方
25 冰冻的女人 邝美云
26 似火探戈 梅艳芳
27 流下眼泪前 徐小凤
28 装饰的眼泪 梅艳芳
29 Don't say goodbye 谭咏麟
30 太阳星晨 张学友
31 无心睡眠 张国荣
32 敢爱敢做 林子祥
33 再见吧！浪漫 谭咏麟
34 灰色 林忆莲
35 阿拉伯跳舞女郎 Beyond
36 未唱的歌 陈百强、关正杰
37 知心当玩偶 谭咏麟
38 拒绝再玩 张国荣
39 倾心 Raidas
40 早晨 林忆莲
41 伤感的恋人 黄凯芹
42 风中追风 蔡枫华
43 晚情 宝丽金群星
44 无限旅程 钟镇涛
45 等待黎明 杜德伟
46 禁区 太极
47 我的故事 陈百强
48 珍惜 许冠杰
49 诚恳 钟镇涛
50 抱紧我 杜德伟
51 恋爱故事 温兆伦
52 烈焰红唇 梅艳芳
53 留下陪我 邝美云 　 　 　


1988 年

1 溜冰滚族 达明一派
2 友谊之光 Maria Cordero
3 点解 刘美君
4 伤心教堂 梅艳芳
5 没有路人的都市 Raidas
6 傻女 陈慧娴
7 每夜不唱停 林子祥
8 挑战 黄敏华
9 劲band super jam 群乐队
10 烟雨凄迷 陈百强
11 半梦半醒 谭咏麟
12 深夜里 林子祥
13 想你 张国荣
14 伴侣 黄凯芹
15 不见不散 谭咏麟
16 尘缘 罗文
17 全人类高歌 太极
18 但愿人长久 卢冠廷
19 昨夜梦魂中 张学友
20 Ma Ma I love you Maria Cordero
21 人生酒库 Blue Jeans
22 Joe le taxi 陈慧娴
23 美梦记心中 叶倩文
24 两点水 钟镇涛
25 Anima 杜德伟
26 沉默是金 许冠杰、张国荣
27 星期六约会 邝美云
28 祝福 叶倩文
29 滴汗 林忆莲
30 你还爱我吗？ 达明一派
31 从今以後 陈百强
32 无需要太多 张国荣
33 夏日之神话 李克勤
34 不如不见 梅艳芳
35 八十岁後 谭咏麟
36 真爱又如何 徐小凤
37 继续跳舞 张国荣
38 Stand by me 梅艳芳
39 水中花 谭咏麟
40 真的汉子 林子祥
41 迷惘 郭小霖
42 大约在冬季 齐秦
43 千载不变 温拿
44 人生何处不相逢 陈慧娴
45 生命之曲 林子祥
46 君子不变 钟镇涛
47 公子多情 刘美君
48 结他低泣时 夏韶声
49 讲多错多 林忆莲 　 　 　


1989 年

1 可能 王杰
2 忘情号 杜德伟
3 心声 邝美云
4 Hello, merry Christmas 黄凯芹
5 感情到老 陈百强
6 今天应该很高兴 达明一派
7 还有 王杰、林忆莲
8 三千日後 Maria Cordero
9 爱念 谭咏麟
10 淑女 梅艳芳
11 侧面 张国荣
12 情义两心知 谭咏麟
13 阿郎恋曲 许冠杰
14 一舞倾情 梅艳芳
15 深深深 李克勤
16 甘心 钟镇涛
17 由零开始 张国荣
18 Linda 张学友
19 红唇绿酒 甄妮
20 凭着爱 苏芮
21 蓝月亮 李克勤
22 黑夜的豹 梅艳芳
23 一生何求 陈百强
24 一分钟都市、一分钟恋爱 林忆莲
25 一无所有 崔健
26 天花乱坠 达明一派
27 为自由 群星
28 真的爱你 Beyond
29 红唇的吻 草蜢
30 梦中见 郭小霖
31 千千阕歌 陈娴慧
32 夕阳之歌 梅艳芳
33 太阳计划 群星
34 血染的风采 王虹
35 若生命等待 黄凯芹
36 最爱是我家 叶倩文
37 你知我知 谭咏麟
38 留住我吧 太极
39 爱人同志 罗大佑
40 从不知 张国荣
41 夏日恋人 梅艳芳
42 夜机 陈慧娴
43 谁明浪子心 王杰
44 夜消沉 张立基
45 依然 林忆莲
46 一生不变 李克勤
47 想你的方向 钟镇涛
48 在等一个晚上 林子祥
49 星空下的恋人 关淑怡
50 夜半一点钟 杜德伟
51 留给这世上我最爱的人 罗文
